contig_size,prediction,contig_id
1000,anaerobe,GCF_000973625_1
1000,anaerobe,GCF_000973625_10
1000,aerobe,GCF_000973625_100
1000,aerobe,GCF_000973625_1000
1000,aerobe,GCF_000973625_1001
1000,aerobe,GCF_000973625_1002
1000,anaerobe,GCF_000973625_1003
1000,aerobe,GCF_000973625_1004
1000,facultative,GCF_000973625_1005
1000,facultative,GCF_000973625_1006
1000,facultative,GCF_000973625_1007
1000,facultative,GCF_000973625_1008
1000,aerobe,GCF_000973625_1009
1000,anaerobe,GCF_000973625_101
1000,facultative,GCF_000973625_1010
1000,anaerobe,GCF_000973625_1011
1000,anaerobe,GCF_000973625_1012
1000,facultative,GCF_000973625_1013
1000,aerobe,GCF_000973625_1014
1000,facultative,GCF_000973625_1015
1000,aerobe,GCF_000973625_1016
1000,facultative,GCF_000973625_1017
1000,aerobe,GCF_000973625_1018
1000,facultative,GCF_000973625_1019
1000,aerobe,GCF_000973625_102
1000,aerobe,GCF_000973625_1020
1000,aerobe,GCF_000973625_1021
1000,anaerobe,GCF_000973625_1022
1000,facultative,GCF_000973625_1023
1000,aerobe,GCF_000973625_1024
1000,aerobe,GCF_000973625_1025
1000,facultative,GCF_000973625_1026
1000,facultative,GCF_000973625_1027
1000,anaerobe,GCF_000973625_1028
1000,facultative,GCF_000973625_1029
1000,facultative,GCF_000973625_103
1000,anaerobe,GCF_000973625_1030
1000,aerobe,GCF_000973625_1031
1000,aerobe,GCF_000973625_1032
1000,anaerobe,GCF_000973625_1033
1000,facultative,GCF_000973625_1034
1000,aerobe,GCF_000973625_1035
1000,aerobe,GCF_000973625_1036
1000,aerobe,GCF_000973625_1037
1000,facultative,GCF_000973625_1038
1000,aerobe,GCF_000973625_1039
1000,facultative,GCF_000973625_104
1000,anaerobe,GCF_000973625_1040
1000,facultative,GCF_000973625_1041
1000,anaerobe,GCF_000973625_1042
1000,facultative,GCF_000973625_1043
1000,aerobe,GCF_000973625_1044
1000,anaerobe,GCF_000973625_1045
1000,anaerobe,GCF_000973625_1046
1000,anaerobe,GCF_000973625_1047
1000,anaerobe,GCF_000973625_1048
1000,anaerobe,GCF_000973625_1049
1000,anaerobe,GCF_000973625_105
1000,anaerobe,GCF_000973625_1050
1000,aerobe,GCF_000973625_1051
1000,facultative,GCF_000973625_1052
1000,aerobe,GCF_000973625_1053
1000,anaerobe,GCF_000973625_1054
1000,aerobe,GCF_000973625_1055
1000,anaerobe,GCF_000973625_1056
1000,anaerobe,GCF_000973625_1057
1000,facultative,GCF_000973625_1058
1000,facultative,GCF_000973625_1059
1000,aerobe,GCF_000973625_106
1000,facultative,GCF_000973625_1060
1000,aerobe,GCF_000973625_1061
1000,anaerobe,GCF_000973625_1062
1000,anaerobe,GCF_000973625_1063
1000,anaerobe,GCF_000973625_1064
1000,facultative,GCF_000973625_1065
1000,aerobe,GCF_000973625_1066
1000,anaerobe,GCF_000973625_1067
1000,aerobe,GCF_000973625_1068
1000,aerobe,GCF_000973625_1069
1000,facultative,GCF_000973625_107
1000,facultative,GCF_000973625_1070
1000,facultative,GCF_000973625_1071
1000,facultative,GCF_000973625_1072
1000,facultative,GCF_000973625_1073
1000,anaerobe,GCF_000973625_1074
1000,facultative,GCF_000973625_1075
1000,facultative,GCF_000973625_1076
1000,aerobe,GCF_000973625_1077
