contig_size,prediction,contig_id
1000,anaerobe,GCF_000022525_1
1000,anaerobe,GCF_000022525_10
1000,facultative,GCF_000022525_100
1000,anaerobe,GCF_000022525_1000
1000,anaerobe,GCF_000022525_1001
1000,aerobe,GCF_000022525_1002
1000,anaerobe,GCF_000022525_1003
1000,anaerobe,GCF_000022525_1004
1000,anaerobe,GCF_000022525_1005
1000,facultative,GCF_000022525_1006
1000,aerobe,GCF_000022525_1007
1000,facultative,GCF_000022525_1008
1000,anaerobe,GCF_000022525_1009
1000,anaerobe,GCF_000022525_101
1000,anaerobe,GCF_000022525_1010
1000,anaerobe,GCF_000022525_1011
1000,facultative,GCF_000022525_1012
1000,anaerobe,GCF_000022525_1013
1000,anaerobe,GCF_000022525_1014
1000,anaerobe,GCF_000022525_1015
1000,anaerobe,GCF_000022525_1016
1000,facultative,GCF_000022525_1017
1000,anaerobe,GCF_000022525_1018
1000,anaerobe,GCF_000022525_1019
1000,facultative,GCF_000022525_102
1000,anaerobe,GCF_000022525_1020
1000,facultative,GCF_000022525_1021
1000,anaerobe,GCF_000022525_1022
1000,anaerobe,GCF_000022525_1023
1000,facultative,GCF_000022525_1024
1000,facultative,GCF_000022525_1025
1000,aerobe,GCF_000022525_1026
1000,anaerobe,GCF_000022525_1027
1000,anaerobe,GCF_000022525_1028
1000,anaerobe,GCF_000022525_1029
1000,anaerobe,GCF_000022525_103
1000,anaerobe,GCF_000022525_1030
1000,anaerobe,GCF_000022525_1031
1000,facultative,GCF_000022525_1032
1000,facultative,GCF_000022525_1033
1000,anaerobe,GCF_000022525_1034
1000,anaerobe,GCF_000022525_1035
1000,anaerobe,GCF_000022525_1036
1000,anaerobe,GCF_000022525_1037
1000,aerobe,GCF_000022525_1038
1000,anaerobe,GCF_000022525_1039
1000,anaerobe,GCF_000022525_104
1000,anaerobe,GCF_000022525_1040
1000,anaerobe,GCF_000022525_1041
1000,anaerobe,GCF_000022525_1042
1000,anaerobe,GCF_000022525_1043
1000,aerobe,GCF_000022525_1044
1000,anaerobe,GCF_000022525_1045
1000,facultative,GCF_000022525_1046
1000,anaerobe,GCF_000022525_1047
1000,anaerobe,GCF_000022525_1048
1000,anaerobe,GCF_000022525_1049
1000,aerobe,GCF_000022525_105
1000,anaerobe,GCF_000022525_1050
1000,anaerobe,GCF_000022525_1051
